Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Relocation,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Atlas Van Lines,03 December 2015,"$5,014.80"
Household/Baby Supplies,Purchase Order,Invitational Tender,Pond Inlet,Family Services,Ikpiaryuk Services Ltd.,20 March 2021,"$5,017.82"
Residential Care,Consulting,Public Request for Proposals,Igloolik,Family Services,"Stirpe, Stones and Associates",03 October 2016,"$5,102.10"
Relocation,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Atlas Van Lines (Canada) Ltd.,28 August 2017,"$5,106.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,07 July 2014,"$5,119.38"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,07 March 2021,"$5,135.31"
Relocation,Service Contract,Sole Source,Igloolik,Family Services,Mayflower Canada,04 August 2017,"$5,137.00"
Relocation,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Atlas Van Lines Canada,21 August 2014,"$5,152.07"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,13 June 2014,"$5,196.51"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,03 June 2016,"$5,213.56"
Cheques,Purchase Order,Invitational Tender,Iqaluit,Family Services,Ayaya Communications Inc.,20 October 2017,"$5,220.00"
Office Supplies,Purchase Order,Public Request for Proposals,Qikiqtarjuaq,Family Services,Northern Networks Ltd.,14 May 2020,"$5,331.04"
"Pampers, Toys and Food Order",Purchase Order,Invitational Tender,Pangnirtung,Family Services,Ikpiaryuk Services Ltd.,22 March 2019,"$5,346.86"
Office Supplies,Purchase Order,Public Request for Proposals,Cambridge Bay,Family Services,Northern Networks Ltd.,05 June 2017,"$5,459.11"
Cheques,Purchase Order,Invitational Tender,Iqaluit,Family Services,Nuna Depot Inc.,29 November 2019,"$5,487.00"
Ink Toners,Purchase Order,Public Request for Proposals,Cambridge Bay,Family Services,Northern Networks Ltd.,02 June 2016,"$5,492.20"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,27 March 2018,"$5,538.97"
Vehicle Parts,Purchase Order,Invitational Tender,Taloyoak,Family Services,Aurora Ford Yellowknife,03 March 2021,"$5,544.97"
Dell PowerEdge Servers,Purchase Order,Invitational Tender,Iqaluit,Family Services,Tittaq Office Products,11 February 2014,"$5,587.38"
Specialized Residential Treatment and Care,Service Contract,Sole Source,Coral Harbour,Family Services,5788847 MB Inc. o/a Gloria's Place,06 August 2013,"$5,600.00"
Capacity Assessment,Consulting,Sole Source,Nunavut Territory,Family Services,Dr. Monty Nelson,08 January 2019,"$5,600.00"
Electronic Cheques,Purchase Order,Invitational Tender,Iqaluit,Family Services,Nuna Link Ltd.,10 December 2018,"$5,703.75"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,20 March 2020,"$5,781.00"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,22 March 2018,"$5,854.54"
Photocopier Lease,Service Contract,Extension,Nunavut Territory,Family Services,CIT Financial Ltd.,01 April 2014,"$5,890.00"
Design and Layout Services,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Outcrop Nunavut,02 October 2020,"$5,930.30"
Professional Services - Capacity Assessments,Service Contract,Extension,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",01 April 2014,"$6,010.00"
HP Color LaserJet Cartridges,Purchase Order,Public Request for Proposals,Cambridge Bay,Family Services,Northern Networks Ltd.,17 February 2016,"$6,019.34"
Electric Restaurant Range,Purchase Order,Invitational Tender,Iqaluit,Family Services,8291292 Canada Ltd. o/a Arctic Ventures,18 August 2016,"$6,051.00"
Printing of Poverty Reduction Reports,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Atiigo Media Inc.,21 February 2017,"$6,118.00"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,Tewegan Housing for Aboriginal Youth,01 February 2016,"$6,192.00"
Preparation of 5 Year Poverty Reduction Plan,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Stiles Associates Inc,01 December 2013,"$6,210.00"
